Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,true,REQUIRED,"Uygulamanız, açıklanması zorunlu kullanıcı verisi türlerinden herhangi birini topluyor veya paylaşıyor mu?"
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,true,MAYBE_REQUIRED,Uygulamanızın topladığı tüm kullanıcı verileri aktarım sırasında şifreleniyor mu?
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD,true,MULTIPLE_CHOICE,Uygulamanız aşağıdaki hesap oluşturma yöntemlerinden hangilerini destekliyor? Geçerli olan tüm seçenekleri işaretleyin/Kullanıcı adı ve şifre
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_OTHER_AUTH,true,MULTIPLE_CHOICE,Uygulamanız aşağıdaki hesap oluşturma yöntemlerinden hangilerini destekliyor? Geçerli olan tüm seçenekleri işaretleyin/Kullanıcı adı ve diğer kimlik doğrulama yöntemleri
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD_OTHER_AUTH,,MULTIPLE_CHOICE,"Uygulamanız aşağıdaki hesap oluşturma yöntemlerinden hangilerini destekliyor? Geçerli olan tüm seçenekleri işaretleyin/Kullanıcı adı, şifre ve diğer kimlik doğrulama bilgileri"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OAUTH,,MULTIPLE_CHOICE,Uygulamanız aşağıdaki hesap oluşturma yöntemlerinden hangilerini destekliyor? Geçerli olan tüm seçenekleri işaretleyin/OAuth
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OTHER,,MULTIPLE_CHOICE,Uygulamanız aşağıdaki hesap oluşturma yöntemlerinden hangilerini destekliyor? Geçerli olan tüm seçenekleri işaretleyin/Diğer
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_NONE,,MULTIPLE_CHOICE,Uygulamanız aşağıdaki hesap oluşturma yöntemlerinden hangilerini destekliyor? Geçerli olan tüm seçenekleri işaretleyin/Uygulamam kullanıcıların hesap oluşturmasına izin vermiyor
PSL_ACM_SPECIFY,,,MAYBE_REQUIRED,Uygulamanızın desteklediği hesap oluşturma yöntemini açıklayın
PSL_ACCOUNT_DELETION_URL,,https://aidatpanel.com/hesap-silme.html,MAYBE_REQUIRED,"Kullanıcıların, hesaplarının ve ilişkili verilerinin silinmesini talep etmek için kullanabilecekleri bir bağlantı ekleyin "
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_YES,,SINGLE_CHOICE,"Kullanıcıların, verilerinin silinmesini talep edebilecekleri bir yöntem sağlıyor musunuz?/Evet"
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO,true,SINGLE_CHOICE,"Kullanıcıların, verilerinin silinmesini talep edebilecekleri bir yöntem sağlıyor musunuz?/Hayır"
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO_AUTO_DELETED,,SINGLE_CHOICE,"Kullanıcıların, verilerinin silinmesini talep edebilecekleri bir yöntem sağlıyor musunuz?/Hayır, ancak kullanıcı verileri 90 gün içinde otomatik olarak siliniyor"
PSL_DATA_DELETION_URL,,,MAYBE_REQUIRED,Veri silme URL'si
PSL_DATA_COLLECTION_COMPLIES_FAMILY_POLICY,,,OPTIONAL,Yalnızca uygulamanızın hedef yaş grubunda çocukların bulunduğunu belirttiyseniz veya Aileler İçin programına kaydolduysanız bu soruyu cevaplayın. Yukarıdaki durumlardan herhangi biri geçerliyse Google Play Aile Politikası'na (https://support.google.com/googleplay/android-developer/answer/9893335) uymanız gerekmektedir. Bu taahhüdünüzü mağaza girişinizdeki Veri Güvenliği bölümünde kullanıcılarla paylaşmak istiyor musunuz?
PSL_INDEPENDENTLY_VALIDATED,,,OPTIONAL,"Uygulamanız, Mobil Uygulama Güvenlik Değerlendirmesi (MASA) çerçevesine göre bağımsız bir güvenlik incelemesini başarıyla tamamladı mı? Yalnızca inceleme olumlu sonuçlandıysa ""evet"" yanıtını verin."
PSL_UPI_BADGE_OPT_IN,,,OPTIONAL,Bu rozeti mağaza girişinizde göstermek istiyor musunuz?
PSL_HAS_OUTSIDE_APP_ACCOUNTS,,,OPTIONAL,"Kullanıcılar, uygulama dışında oluşturulan hesaplarla uygulamanıza giriş yapabilir mi?"
PSL_OUTSIDE_APP_ACCOUNT_TYPES,PSL_LOGIN_WITH_OUTSIDE_APP_ID,,MULTIPLE_CHOICE,"Bu hesaplar nasıl oluşturulur?/Uygulama dışında kimlik belirleme (ör. SIM bağlama, hizmet aboneliği)"
PSL_OUTSIDE_APP_ACCOUNT_TYPES,PSL_LOGIN_THROUGH_EMPLOYMENT_OR_ENTERPRISE_ACCOUNT,,MULTIPLE_CHOICE,Bu hesaplar nasıl oluşturulur?/İş yerinden alınan veya kurumsal hesaplar aracılığıyla
PSL_OUTSIDE_APP_ACCOUNT_TYPES,PSL_OUTSIDE_APP_ACCOUNT_TYPE_OTHER,,MULTIPLE_CHOICE,Bu hesaplar nasıl oluşturulur?/Diğer
PSL_OUTSIDE_APP_ACCOUNT_TYPE_SPECIFY,,,MAYBE_REQUIRED,Bu hesapların nasıl oluşturulduğunu açıklayın
PSL_DATA_TYPES_PERSONAL,PSL_NAME,true,MULTIPLE_CHOICE,Kişisel bilgiler/Ad
PSL_DATA_TYPES_PERSONAL,PSL_EMAIL,true,MULTIPLE_CHOICE,Kişisel bilgiler/E-posta adresi
PSL_DATA_TYPES_PERSONAL,PSL_USER_ACCOUNT,true,MULTIPLE_CHOICE,Kişisel bilgiler/Kullanıcı kimlikleri
PSL_DATA_TYPES_PERSONAL,PSL_ADDRESS,true,MULTIPLE_CHOICE,Kişisel bilgiler/Adres
PSL_DATA_TYPES_PERSONAL,PSL_PHONE,true,MULTIPLE_CHOICE,Kişisel bilgiler/Telefon numarası
PSL_DATA_TYPES_PERSONAL,PSL_RACE_ETHNICITY,,MULTIPLE_CHOICE,Kişisel bilgiler/Irk ve etnik köken
PSL_DATA_TYPES_PERSONAL,PSL_POLITICAL_RELIGIOUS,,MULTIPLE_CHOICE,Kişisel bilgiler/Siyasi görüş veya dini inanç
PSL_DATA_TYPES_PERSONAL,PSL_SEXUAL_ORIENTATION_GENDER_IDENTITY,,MULTIPLE_CHOICE,Kişisel bilgiler/Cinsel yönelim
PSL_DATA_TYPES_PERSONAL,PSL_OTHER_PERSONAL,,MULTIPLE_CHOICE,Kişisel bilgiler/Diğer bilgiler
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_DEBIT_BANK_ACCOUNT_NUMBER,,MULTIPLE_CHOICE,Finansal bilgiler/Kullanıcı ödeme bilgileri
PSL_DATA_TYPES_FINANCIAL,PSL_PURCHASE_HISTORY,true,MULTIPLE_CHOICE,Finansal bilgiler/İşlem geçmişi
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_SCORE,,MULTIPLE_CHOICE,Finansal bilgiler/Kredi puanı
PSL_DATA_TYPES_FINANCIAL,PSL_OTHER,true,MULTIPLE_CHOICE,Finansal bilgiler/Diğer finansal bilgiler
PSL_DATA_TYPES_LOCATION,PSL_APPROX_LOCATION,,MULTIPLE_CHOICE,Konum/Yaklaşık konum
PSL_DATA_TYPES_LOCATION,PSL_PRECISE_LOCATION,,MULTIPLE_CHOICE,Konum/Tam konum
PSL_DATA_TYPES_SEARCH_AND_BROWSING,PSL_WEB_BROWSING_HISTORY,,MULTIPLE_CHOICE,Web'e göz atma/Web tarama geçmişi
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_EMAILS,,MULTIPLE_CHOICE,Mesajlar/E-postalar
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_SMS_CALL_LOG,,MULTIPLE_CHOICE,Mesajlar/SMS veya MMS
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_OTHER_MESSAGES,true,MULTIPLE_CHOICE,Mesajlar/Diğer uygulama içi mesajlar
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_PHOTOS,true,MULTIPLE_CHOICE,Fotoğraflar ve videolar/Fotoğraflar
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_VIDEOS,,MULTIPLE_CHOICE,Fotoğraflar ve videolar/Videolar
PSL_DATA_TYPES_AUDIO,PSL_AUDIO,,MULTIPLE_CHOICE,Ses dosyaları/Konuşma veya ses kayıtları
PSL_DATA_TYPES_AUDIO,PSL_MUSIC,,MULTIPLE_CHOICE,Ses dosyaları/Müzik dosyaları
PSL_DATA_TYPES_AUDIO,PSL_OTHER_AUDIO,,MULTIPLE_CHOICE,Ses dosyaları/Diğer ses dosyaları
PSL_DATA_TYPES_HEALTH_AND_FITNESS,PSL_HEALTH,,MULTIPLE_CHOICE,Sağlık ve fitness/Sağlık bilgisi
PSL_DATA_TYPES_HEALTH_AND_FITNESS,PSL_FITNESS,,MULTIPLE_CHOICE,Sağlık ve fitness/Fitness bilgisi
PSL_DATA_TYPES_CONTACTS,PSL_CONTACTS,,MULTIPLE_CHOICE,Kişiler/Kişiler
PSL_DATA_TYPES_CALENDAR,PSL_CALENDAR,,MULTIPLE_CHOICE,Takvim/Takvim etkinlikleri
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_CRASH_LOGS,true,MULTIPLE_CHOICE,Uygulama bilgileri ve performansı/Kilitlenme günlükleri
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_PERFORMANCE_DIAGNOSTICS,true,MULTIPLE_CHOICE,Uygulama bilgileri ve performansı/Teşhisler
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_OTHER_PERFORMANCE,,MULTIPLE_CHOICE,Uygulama bilgileri ve performansı/Uygulama performansıyla ilgili diğer veriler
PSL_DATA_TYPES_FILES_AND_DOCS,PSL_FILES_AND_DOCS,true,MULTIPLE_CHOICE,Dosyalar ve dokümanlar/Dosyalar ve dokümanlar
PSL_DATA_TYPES_APP_ACTIVITY,PSL_USER_INTERACTION,true,MULTIPLE_CHOICE,Uygulama etkinliği/Uygulama işlemleri
PSL_DATA_TYPES_APP_ACTIVITY,PSL_IN_APP_SEARCH_HISTORY,,MULTIPLE_CHOICE,Uygulama etkinliği/Uygulama içi arama geçmişi
PSL_DATA_TYPES_APP_ACTIVITY,PSL_APPS_ON_DEVICE,,MULTIPLE_CHOICE,Uygulama etkinliği/Yüklü uygulamalar
PSL_DATA_TYPES_APP_ACTIVITY,PSL_USER_GENERATED_CONTENT,,MULTIPLE_CHOICE,Uygulama etkinliği/Kullanıcı tarafından oluşturulan diğer içerikler
PSL_DATA_TYPES_APP_ACTIVITY,PSL_OTHER_APP_ACTIVITY,,MULTIPLE_CHOICE,Uygulama etkinliği/Diğer işlemler
PSL_DATA_TYPES_IDENTIFIERS,PSL_DEVICE_ID,true,MULTIPLE_CHOICE,Cihaz veya diğer kimlikler/Cihaz veya diğer kimlikler
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,true,MULTIPLE_CHOICE,Veri kullanımı ve işleme (Ad)/Bu veriler toplanıyor ve/veya paylaşılıyor mu?/Toplandı
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,Veri kullanımı ve işleme (Ad)/Bu veriler toplanıyor ve/veya paylaşılıyor mu?/Paylaşıldı
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_EPHEMERAL,,false,MAYBE_REQUIRED,Veri kullanımı ve işleme (Ad)/Bu veriler kısa süreli olarak işleniyor mu?
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,Veri kullanımı ve işleme (Ad)/Bu veriler uygulamanızda zorunlu olarak toplanıyor mu yoksa kullanıcılara bu konuda seçenek sunuluyor mu?/Kullanıcılar bu verilerin toplanıp toplanmayacağını seçebilir
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,true,SINGLE_CHOICE,"Veri kullanımı ve işleme (Ad)/Bu veriler uygulamanızda zorunlu olarak toplanıyor mu yoksa kullanıcılara bu konuda seçenek sunuluyor mu?/Veriler zorunlu olarak toplanır (veri toplama seçeneği, kullanıcılar tarafından devre dışı bırakılamaz)"
